Task,Run,Algorithm,Iteration,ValidationRMSE
Germany Wind,1,GA,0,2665.8497707110205
Germany Wind,1,GA,1,2639.477126250576
Germany Wind,1,GA,2,2585.096226448834
Germany Wind,1,GA,3,2585.096226448834
Germany Wind,1,GA,4,2567.489143112391
Germany Wind,1,GA,5,2566.0654707158196
Germany Wind,1,GA,6,2565.8268647747846
Germany Wind,1,GA,7,2565.5389297377656
Germany Wind,1,GA,8,2565.5389297377656
Germany Wind,1,GA,9,2565.5389297377656
Germany Wind,1,GA,10,2565.5389297377656
Germany Wind,1,GA,11,2565.5389297377656
Germany Wind,1,GA,12,2564.061231718151
Germany Wind,1,GA,13,2564.061231718151
Germany Wind,1,GA,14,2564.061231718151
Germany Wind,1,GA,15,2563.7164429788254
Germany Wind,1,PSO,0,2554.481062760106
Germany Wind,1,PSO,1,2554.481062760106
Germany Wind,1,PSO,2,2554.481062760106
Germany Wind,1,PSO,3,2533.0302011622366
Germany Wind,1,PSO,4,2533.0302011622366
Germany Wind,1,PSO,5,2533.0302011622366
Germany Wind,1,PSO,6,2533.0302011622366
Germany Wind,1,PSO,7,2525.9294329018776
Germany Wind,1,PSO,8,2525.9294329018776
Germany Wind,1,PSO,9,2525.9294329018776
Germany Wind,1,PSO,10,2522.8963514183456
Germany Wind,1,PSO,11,2522.8963514183456
Germany Wind,1,PSO,12,2522.6272019464154
Germany Wind,1,PSO,13,2522.6272019464154
Germany Wind,1,PSO,14,2522.6272019464154
Germany Wind,1,PSO,15,2522.6272019464154
Germany Wind,1,CCO,0,2554.481062760106
Germany Wind,1,CCO,1,2554.481062760106
Germany Wind,1,CCO,2,2554.481062760106
Germany Wind,1,CCO,3,2554.481062760106
Germany Wind,1,CCO,4,2554.481062760106
Germany Wind,1,CCO,5,2554.481062760106
Germany Wind,1,CCO,6,2554.481062760106
Germany Wind,1,CCO,7,2554.481062760106
Germany Wind,1,CCO,8,2554.481062760106
Germany Wind,1,CCO,9,2554.481062760106
Germany Wind,1,CCO,10,2554.481062760106
Germany Wind,1,CCO,11,2554.481062760106
Germany Wind,1,CCO,12,2554.481062760106
Germany Wind,1,CCO,13,2553.0495490687213
Germany Wind,1,CCO,14,2547.682280034149
Germany Wind,1,CCO,15,2547.682280034149
Germany Wind,2,GA,0,2648.875893657534
Germany Wind,2,GA,1,2574.4363460765544
Germany Wind,2,GA,2,2574.4363460765544
Germany Wind,2,GA,3,2574.4363460765544
Germany Wind,2,GA,4,2567.1825996605694
