Task,Country,Product,Run,Algorithm,ValidationRMSE,TestRMSE,TestMAE,TestMAPE,BaselineRMSE,ImprovementVsBaselinePercent,HiddenUnits,Dropout,LearningRate,BatchSize,RuntimeSeconds
Germany Wind,Germany,Wind,1,GA,2563.7164429788254,2440.104198594806,2019.292236328125,18.343271255493164,3414.7934051710945,28.543138366739726,128,0.2507,0.002358381228740104,16,247.88072276115417
Germany Wind,Germany,Wind,1,PSO,2522.6272019464154,2445.341796150387,1989.5399169921875,17.501384735107422,3414.7934051710945,28.389758734822617,136,0.077,0.0009502584414814253,16,327.26966881752014
Germany Wind,Germany,Wind,1,CCO,2547.682280034149,2540.355880580514,2101.761474609375,18.60616683959961,3414.7934051710945,25.607333177649952,144,0.0476,0.0005044257428922644,8,284.4771945476532
Germany Wind,Germany,Wind,2,GA,2558.939819534645,2495.1319604381647,2079.360107421875,18.775943756103516,3414.7934051710945,26.931686213879495,152,0.2033,0.0021801140746392144,32,231.63702702522278
Germany Wind,Germany,Wind,2,PSO,2566.377602770099,2428.9988678465866,1997.5816650390625,17.77939796447754,3414.7934051710945,28.86835074214734,96,0.3376,0.0026615511785781265,16,259.6717355251312
Germany Wind,Germany,Wind,2,CCO,2592.6645560118263,2566.955297624016,2123.129638671875,18.62560272216797,3414.7934051710945,24.82838658008356,56,0.45,0.01,8,176.89669466018677
Germany Wind,Germany,Wind,3,GA,2525.58478376791,2485.0698179326873,2069.573974609375,18.49521255493164,3414.7934051710945,27.226349501276033,160,0.3007,0.000923946358869069,16,248.68377709388733
Germany Wind,Germany,Wind,3,PSO,2526.8827634063277,2493.1078997909417,2076.939453125,18.821977615356445,3414.7934051710945,26.99095951117935,120,0.1947,0.0011394737008467357,16,297.18372797966003
Germany Wind,Germany,Wind,3,CCO,2527.29103982901,2515.0324053578315,2085.25537109375,18.871692657470703,3414.7934051710945,26.348914650319273,120,0.1347,0.001116418234075628,16,193.33955311775208
Germany Solar,Germany,Solar,1,GA,588.7543258864431,1222.7269216795712,1063.932373046875,27.99892807006836,1336.833198271198,8.535565748904933,88,0.0567,0.0023539479408992226,16,170.00558876991272
Germany Solar,Germany,Solar,1,PSO,621.6797055156296,1336.1751382210343,1130.2974853515625,32.51089859008789,1336.833198271198,0.049225292356190775,120,0.3786,0.002992774445108629,16,261.9003028869629
Germany Solar,Germany,Solar,1,CCO,616.0709425463922,1288.4587207202255,1081.11328125,24.012828826904297,1336.833198271198,3.618587390972234,136,0.266,0.004368289012849549,16,251.36883521080017
Germany Solar,Germany,Solar,2,GA,610.9351182818025,1706.9365102428385,1505.3187255859375,37.12635803222656,1336.833198271198,-27.685077872861086,120,0.1113,0.0046939349075472364,16,194.784117937088
Germany Solar,Germany,Solar,2,PSO,607.822291052245,1335.7171762764751,1147.5626220703125,33.63181686401367,1336.833198271198,0.08348251645501187,96,0.0236,0.005336441227369394,16,220.83520650863647
