Task,Algorithm,MeanTestRMSE,StdTestRMSE,MeanMAE,MeanMAPE,MeanImprovement,MeanRuntime
Denmark Solar,CCO,104.54934835293083,11.293805936387358,83.52487182617188,55.08173370361328,-79.57215599657341,243.4532786210378
Denmark Solar,GA,95.25621965523372,42.724130624275695,74.86019134521484,50.881003061930336,-63.61043856371369,214.53470730781555
Denmark Solar,PSO,114.86100703378018,15.164149392896977,96.07862091064453,72.90371958414714,-97.28328294659606,267.825057665507
Denmark Wind,CCO,329.45889237922705,5.128764313101577,254.08396911621094,15.98654874165853,10.40377200848228,192.26060032844543
Denmark Wind,GA,323.1384326089347,2.3803348633054395,252.38073221842447,15.776910463968912,12.122618783267454,146.91916712125143
Denmark Wind,PSO,330.5369088670025,8.719617034038638,252.48068237304688,15.688813209533691,10.110605810053586,182.9577387968699
Germany Solar,CCO,1323.022421861416,178.0851464270122,1117.8004150390625,29.282557169596355,1.0330964571827081,211.1588000456492
Germany Solar,GA,1316.1528205340267,353.45575854764274,1149.470926920573,30.232093811035156,1.5469676967863546,179.64584549268088
Germany Solar,PSO,1274.728216455814,106.03283103392893,1072.6407267252605,31.22087860107422,4.645679198848344,256.4159053166707
Germany Wind,CCO,2540.7811945207873,25.96405889460074,2103.3821614583335,18.701154073079426,25.594878136017595,218.23781410853067
Germany Wind,GA,2473.435325655219,29.300762810687917,2056.075439453125,18.538142522176106,27.56705802729842,242.73384229342142
Germany Wind,PSO,2455.816187929305,33.313310501423956,2021.3536783854167,18.0342534383138,28.083022996049767,294.70837744077045
Spain Solar,CCO,832.1488092350615,256.39055571140597,711.3984578450521,17.449957211812336,5.669457765439027,209.84813475608826
Spain Solar,GA,833.148497514752,315.48729135793565,684.8261108398438,18.469251314798992,5.5561353206524755,208.0427459081014
Spain Solar,PSO,605.0381623535477,83.16530237282277,497.66310628255206,11.528546015421549,31.414216671323015,244.09773389498392
Spain Wind,CCO,1017.5397968870693,10.175896841682873,815.3506673177084,15.578851699829102,17.72264552746773,180.06814622879028
Spain Wind,GA,1040.9515981803695,30.188973460556493,853.418212890625,16.671294530232746,15.829588293006443,213.58512417475382
Spain Wind,PSO,1037.841281111707,11.181472649706256,858.2153523763021,16.56666437784831,16.081085738868705,176.23400020599365
